Acantharchus pomotis
Agosia chrysogaster
Ambloplites ariommus
Ambloplites cavifrons
Ambloplites rupestris
Ameiurus brunneus
Ameiurus catus
Ameiurus melas
Ameiurus natalis
Ameiurus nebulosus
Ameiurus platycephalus
Amia calva
Ammocrypta beanii
Ammocrypta vivax
Anguilla rostrata
Apeltes quadracus
Aphredoderus sayanus
Aplodinotus grunniens
Astyanax mexicanus
Campostoma anomalum
Campostoma oligolepis
Campostoma pauciradii
Campostoma spadiceum
Carassius auratus
Carpiodes carpio
Carpiodes cyprinus
Carpiodes velifer
Catostomus catostomus
Catostomus clarkii
Catostomus commersonii
Catostomus discobolus
Catostomus fumeiventris
Catostomus insignis
Catostomus latipinnis
Catostomus macrocheilus
Catostomus occidentalis
Catostomus platyrhynchus
Catostomus plebeius
Catostomus rimiculus
Catostomus santaanae
Catostomus tahoensis
Centrarchus macropterus
Chrosomus cumberlandensis
Chrosomus eos
Chrosomus erythrogaster
Chrosomus neogaeus
Chrosomus oreas
Chrosomus tennesseensis
Clinostomus elongatus
Clinostomus funduloides
Cottus aleuticus
Cottus asper
Cottus baileyi
Cottus bairdii
Cottus beldingii
Cottus caeruleomentum
Cottus carolinae
Cottus chattahoochee
Cottus cognatus
Cottus confusus
Cottus girardi
Cottus gulosus
Cottus kanawhae
Cottus klamathensis
Cottus perplexus
Cottus pitensis
Cottus rhotheus
Cottus sp. Checkered Sculpin
Cottus sp. Clinch Sculpin
Cottus sp. Holston Sculpin
Cottus sp. Rocky Mountain Sculpin
Couesius plumbeus
Ctenopharyngodon idella
Culaea inconstans
Cyprinella analostana
Cyprinella callisema
Cyprinella callistia
Cyprinella camura
Cyprinella chloristia
Cyprinella galactura
Cyprinella gibbsi
Cyprinella labrosa
Cyprinella lepida
Cyprinella lutrensis
Cyprinella nivea
Cyprinella proserpina
Cyprinella pyrrhomelas
Cyprinella spiloptera
Cyprinella trichroistia
Cyprinella venusta
Cyprinella whipplei
Cyprinella xaenura
Cyprinella zanema
Cyprinus carpio
Dionda diaboli
Dionda episcopa
Dionda nigrotaeniata
Dorosoma cepedianum
Dorosoma petenense
Elassoma okefenokee
Elassoma zonatum
Enneacanthus chaetodon
Enneacanthus gloriosus
Enneacanthus obesus
Erimystax dissimilis
Erimystax harryi
Erimystax x-punctatus
Erimyzon claviformis
Erimyzon oblongus
Erimyzon sucetta
Erimyzon tenuis
Esox americanus
Esox lucius
Esox niger
Etheostoma artesiae
Etheostoma asprigene
Etheostoma autumnale
Etheostoma baileyi
Etheostoma bellator
Etheostoma blennioides
Etheostoma brevispinum
Etheostoma caeruleum
Etheostoma camurum
Etheostoma cervus
Etheostoma chlorosoma
Etheostoma chuckwachatte
Etheostoma cinereum
Etheostoma collettei
Etheostoma collis
Etheostoma colorosum
Etheostoma coosae
Etheostoma ditrema
Etheostoma douglasi
Etheostoma edwini
Etheostoma etowahae
Etheostoma euzonum
