Etheostoma sp. Clarks Darter
Catostomus discobolus
Ictalurus punctatus
Cyprinus carpio
Catostomus latipinnis
Salmo trutta
Cottus bairdii
Gila robusta
Prosopium williamsoni
Catostomus commersonii
Semotilus atromaculatus
Salvelinus fontinalis
Culaea inconstans
Etheostoma nigrum
Rhinichthys cataractae
Catostomus catostomus
Pimephales promelas
Notropis stramineus
Oncorhynchus mykiss
Oncorhynchus clarkii
Chrosomus eos
Chrosomus neogaeus
Couesius plumbeus
Luxilus cornutus
Pungitius pungitius
Rhinichthys atratulus
Ambloplites rupestris
Fundulus diaphanus
Lepomis gibbosus
Lepomis macrochirus
Micropterus salmoides
Notemigonus crysoleucas
Perca flavescens
Percina caprodes
Esox lucius
Hybognathus regius
Labidesthes sicculus
Notropis anogenus
Notropis heterodon
Pimephales notatus
Notropis bifrenatus
Etheostoma olmstedi
Micropterus dolomieu
Ameiurus nebulosus
Notropis atherinoides
Sander vitreus
Moxostoma anisurum
Alosa pseudoharengus
Neogobius melanostomus
Pomoxis nigromaculatus
Amia calva
Esox masquinongy
Umbra limi
Semotilus corporalis
Acipenser fulvescens
Lepisosteus osseus
Notropis hudsonius
Anguilla rostrata
Cyprinella spiloptera
Proterorhinus semilunaris
Hybognathus hankinsoni
Moxostoma valenciennesi
Morone americana
Etheostoma flabellare
Notropis volucellus
Exoglossum maxillingua
Noturus flavus
Notropis rubellus
Campostoma anomalum
Oncorhynchus tshawytscha
Ichthyomyzon unicuspis
Ameiurus natalis
Noturus gyrinus
Cyprinella analostana
Lepomis cyanellus
Etheostoma exile
Notropis dorsalis
Esox americanus
Hypophthalmichthys molitrix
Ctenopharyngodon idella
Hypophthalmichthys nobilis
Carassius auratus
Oligolepis acutipennis
Mylopharyngodon piceus
Channa argus
Oreochromis aureus
Hypostomus plecostomus
Tinca tinca
Gymnocephalus cernua
Channa micropeltes
Misgurnus anguillicaudatus
Osteoglossum bicirrhosum
Hoplosternum littorale
Clarias batrachus
Hemichromis bimaculatus
Monopterus albus
Pterygoplichthys disjunctivus
Oreochromis niloticus
Cichlasoma bimaculatum
Scardinius erythrophthalmus
Poecilia reticulata
Cichlasoma urophthalmus
Rocio octofasciata
Rhinichthys obtusus
Cycleptus meridionalis
Margariscus margarita
Margariscus nachtriebi
Gambusia affinis
Gambusia holbrooki
Acipenser oxyrinchus
Gila orcuttii
Oncorhynchus aguabonita
Catostomus occidentalis
Catostomus fumeiventris
Siphateles bicolor
Richardsonius egregius
Rhinichthys osculus
Catostomus tahoensis
Cottus gulosus
Cottus beldingii
Ptychocheilus grandis
Hesperoleucus symmetricus
Archoplites interruptus
Catostomus platyrhynchus
Catostomus santaanae
Cottus pitensis
Ictiobus cyprinellus
Ictiobus niger
Fundulus notatus
Dorosoma cepedianum
Lepomis megalotis
Lepomis humilis
Pomoxis annularis
Aplodinotus grunniens
Lepisosteus platostomus
Lepisosteus oculatus
Lepomis gulosus
Morone chrysops
Ameiurus melas
Fundulus olivaceus
Etheostoma asprigene
Lepomis microlophus
Ictiobus bubalus
Morone mississippiensis
Pylodictis olivaris
Aphredoderus sayanus
Pimephales vigilax
Centrarchus macropterus
Moxostoma erythrurum
Etheostoma spectabile
Lythrurus umbratilis
Micropterus punctulatus
Cyprinella whipplei
Cyprinella venusta
Etheostoma caeruleum
Notropis blennius
Notropis buccatus
Minytrema melanops
