"","cluster","Scientific_Name","n_sites","prop_sites"
"1",1,"Oncorhynchus clarkii",26,0.530612244897959
"2",1,"Salvelinus confluentus",18,0.36734693877551
"3",1,"Rhinichthys cataractae",10,0.204081632653061
"4",1,"Rhinichthys osculus",9,0.183673469387755
"5",1,"Prosopium williamsoni",8,0.163265306122449
"6",1,"Cottus bairdii",7,0.142857142857143
"7",1,"Catostomus commersonii",6,0.122448979591837
"8",1,"Catostomus discobolus",5,0.102040816326531
"9",1,"Catostomus macrocheilus",5,0.102040816326531
"10",1,"Culaea inconstans",4,0.0816326530612245
"11",1,"Ictalurus punctatus",4,0.0816326530612245
"12",1,"Semotilus atromaculatus",4,0.0816326530612245
"13",1,"Oncorhynchus mykiss",3,0.0612244897959184
"14",1,"Salvelinus fontinalis",3,0.0612244897959184
"15",1,"Agosia chrysogaster",2,0.0408163265306122
"16",1,"Catostomus catostomus",2,0.0408163265306122
"17",1,"Catostomus latipinnis",2,0.0408163265306122
"18",1,"Catostomus platyrhynchus",2,0.0408163265306122
"19",1,"Cottus perplexus",2,0.0408163265306122
"20",1,"Cottus rhotheus",2,0.0408163265306122
"21",1,"Dorosoma cepedianum",2,0.0408163265306122
"22",1,"Esox americanus",2,0.0408163265306122
"23",1,"Lepomis macrochirus",2,0.0408163265306122
"24",1,"Luxilus cornutus",2,0.0408163265306122
"25",1,"Micropterus salmoides",2,0.0408163265306122
"26",1,"Notemigonus crysoleucas",2,0.0408163265306122
"27",1,"Oncorhynchus kisutch",2,0.0408163265306122
"28",1,"Pimephales promelas",2,0.0408163265306122
"29",1,"Ameiurus melas",1,0.0204081632653061
"30",1,"Ameiurus nebulosus",1,0.0204081632653061
"31",1,"Anguilla rostrata",1,0.0204081632653061
"32",1,"Aphredoderus sayanus",1,0.0204081632653061
"33",1,"Campostoma anomalum",1,0.0204081632653061
"34",1,"Carpiodes carpio",1,0.0204081632653061
"35",1,"Catostomus clarkii",1,0.0204081632653061
"36",1,"Catostomus insignis",1,0.0204081632653061
"37",1,"Cottus aleuticus",1,0.0204081632653061
"38",1,"Cottus cognatus",1,0.0204081632653061
"39",1,"Erimyzon oblongus",1,0.0204081632653061
"40",1,"Esox niger",1,0.0204081632653061
"41",1,"Etheostoma chlorosoma",1,0.0204081632653061
"42",1,"Etheostoma fusiforme",1,0.0204081632653061
"43",1,"Exoglossum maxillingua",1,0.0204081632653061
"44",1,"Hybognathus placitus",1,0.0204081632653061
"45",1,"Hypentelium nigricans",1,0.0204081632653061
"46",1,"Lepisosteus oculatus",1,0.0204081632653061
"47",1,"Lepomis gulosus",1,0.0204081632653061
