"","cluster","Scientific_Name","n_sites","prop_sites"
"1",1,"Salvelinus fontinalis",23,0.469387755102041
"2",1,"Oncorhynchus mykiss",18,0.36734693877551
"3",1,"Salmo trutta",17,0.346938775510204
"4",1,"Catostomus commersonii",6,0.122448979591837
"5",1,"Lepomis cyanellus",4,0.0816326530612245
"6",1,"Pimephales promelas",4,0.0816326530612245
"7",1,"Micropterus dolomieu",3,0.0612244897959184
"8",1,"Etheostoma nigrum",2,0.0408163265306122
"9",1,"Gambusia affinis",2,0.0408163265306122
"10",1,"Lepomis macrochirus",2,0.0408163265306122
"11",1,"Micropterus salmoides",2,0.0408163265306122
"12",1,"Richardsonius balteatus",2,0.0408163265306122
"13",1,"Semotilus atromaculatus",2,0.0408163265306122
"14",1,"Ameiurus natalis",1,0.0204081632653061
"15",1,"Catostomus tahoensis",1,0.0204081632653061
"16",1,"Cottus bairdii",1,0.0204081632653061
"17",1,"Cyprinella lutrensis",1,0.0204081632653061
"18",1,"Cyprinus carpio",1,0.0204081632653061
"19",1,"Esox lucius",1,0.0204081632653061
"20",1,"Etheostoma blennioides",1,0.0204081632653061
"21",1,"Notemigonus crysoleucas",1,0.0204081632653061
"22",1,"Oncorhynchus clarkii",1,0.0204081632653061
"23",1,"Oncorhynchus kisutch",1,0.0204081632653061
"24",1,"Richardsonius egregius",1,0.0204081632653061
"25",4,"Oncorhynchus mykiss",4,0.0373831775700935
"26",4,"Salmo trutta",3,0.0280373831775701
"27",4,"Pimephales promelas",2,0.0186915887850467
"28",4,"Chrosomus eos",1,0.00934579439252336
"29",4,"Chrosomus neogaeus",1,0.00934579439252336
"30",4,"Cyprinella lutrensis",1,0.00934579439252336
"31",4,"Etheostoma microperca",1,0.00934579439252336
"32",4,"Fundulus dispar",1,0.00934579439252336
"33",4,"Gambusia affinis",1,0.00934579439252336
"34",4,"Hybognathus hankinsoni",1,0.00934579439252336
"35",4,"Labidesthes sicculus",1,0.00934579439252336
"36",4,"Lepomis gibbosus",1,0.00934579439252336
"37",4,"Lepomis microlophus",1,0.00934579439252336
"38",4,"Lepomis punctatus",1,0.00934579439252336
"39",4,"Lythrurus fumeus",1,0.00934579439252336
"40",4,"Lythrurus umbratilis",1,0.00934579439252336
"41",4,"Neogobius melanostomus",1,0.00934579439252336
"42",4,"Notemigonus crysoleucas",1,0.00934579439252336
"43",4,"Notropis boops",1,0.00934579439252336
"44",4,"Notropis chlorocephalus",1,0.00934579439252336
"45",4,"Notropis topeka",1,0.00934579439252336
"46",4,"Noturus exilis",1,0.00934579439252336
"47",4,"Rhinichthys atratulus",1,0.00934579439252336
"48",4,"Salvelinus fontinalis",1,0.00934579439252336
"49",6,"Lepomis cyanellus",33,0.229166666666667
"50",6,"Cyprinus carpio",28,0.194444444444444
"51",6,"Lepomis macrochirus",28,0.194444444444444
"52",6,"Salmo trutta",23,0.159722222222222
"53",6,"Micropterus salmoides",20,0.138888888888889
"54",6,"Oncorhynchus mykiss",16,0.111111111111111
"55",6,"Micropterus dolomieu",12,0.0833333333333333
"56",6,"Lepomis auritus",11,0.0763888888888889
"57",6,"Lepomis microlophus",9,0.0625
"58",6,"Gambusia affinis",7,0.0486111111111111
"59",6,"Ambloplites rupestris",6,0.0416666666666667
"60",6,"Hybognathus hankinsoni",5,0.0347222222222222
"61",6,"Notropis dorsalis",5,0.0347222222222222
"62",6,"Catostomus commersonii",4,0.0277777777777778
"63",6,"Cyprinella lutrensis",4,0.0277777777777778
"64",6,"Etheostoma blennioides",4,0.0277777777777778
"65",6,"Ictalurus punctatus",4,0.0277777777777778
"66",6,"Lythrurus umbratilis",4,0.0277777777777778
"67",6,"Notemigonus crysoleucas",4,0.0277777777777778
"68",6,"Pimephales promelas",4,0.0277777777777778
"69",6,"Rhinichthys atratulus",4,0.0277777777777778
"70",6,"Ameiurus natalis",3,0.0208333333333333
"71",6,"Carassius auratus",3,0.0208333333333333
"72",6,"Chrosomus eos",3,0.0208333333333333
"73",6,"Cyprinella galactura",3,0.0208333333333333
"74",6,"Lythrurus ardens",3,0.0208333333333333
"75",6,"Notropis telescopus",3,0.0208333333333333
